$Tomato_Root;;;;;
$Tomato_Root$`0`;;;;;
$Maize_Shoot$`9`;;;;;
;Value;groups;;;
C;-17.77714;b;;;
Fe;-16.61286;a;;;
P;-17.88286;b;;;
P/Fe;-16.94143;a;;;
;;;;;
$Maize_Shoot$`11`;;;;;
;Value;groups;;;
C;-17.85857;c;;;
Fe;-16.34286;a;;;
P;-17.46;bc;;;
P/Fe;-17.20143;b;;;
;;;;;
$Maize_Shoot$`14`;;;;;
;Value;groups;;;
C;-17.85571;b;;;
Fe;-17.15;a;;;
P;-17.96143;b;;;
P/Fe;-17.31286;a;;;
;;;;;
;;;;;
$Barley_Root;;;;;
$Barley_Root$`0`;;;;;
;Value;groups;;;
C;-27.37;a;;;
Fe;-27.71429;a;;;
P;-27.83143;a;;;
P/Fe;-27.48714;a;;;
;;;;;
$Barley_Root$`2`;;;;;
;Value;groups;;;
C;-28.73714;a;;;
Fe;-28.78286;a;;;
P;-29.84;ab;;;
P/Fe;-30.84286;b;;;
;;;;;
$Barley_Root$`4`;;;;;
;Value;groups;;;
C;-31.50429;a;;;
Fe;-31.69857;a;;;
P;-33.01286;a;;;
P/Fe;-32.44;a;;;
;;;;;
$Barley_Root$`7`;;;;;
;Value;groups;;;
C;-34.00143;ab;;;
Fe;-33.32;a;;;
P;-34.65286;ab;;;
P/Fe;-35.18857;b;;;
;;;;;
$Barley_Root$`9`;;;;;
;Value;groups;;;
C;-34.75143;a;;;
Fe;-34.92714;a;;;
P;-35.18143;a;;;
P/Fe;-35.86286;a;;;
;;;;;
$Barley_Root$`11`;;;;;
;Value;groups;;;
C;-34.87429;ab;;;
Fe;-34.30571;a;;;
P;-35.89286;b;;;
P/Fe;-35.91143;b;;;
;;;;;
$Barley_Root$`14`;;;;;
;Value;groups;;;
C;-36.55;ab;;;
Fe;-35.74857;a;;;
P;-37.31;b;;;
P/Fe;-37.67714;b;;;
;;;;;
;;;;;
$Barley_Shoot;;;;;
$Barley_Shoot$`0`;;;;;
;Value;groups;;;
C;-31.16429;a;;;
Fe;-30.89571;a;;;
P;-31.05429;a;;;
P/Fe;-31.06429;a;;;
;;;;;
$Barley_Shoot$`2`;;;;;
;Value;groups;;;
C;-32.73429;a;;;
Fe;-33.39571;a;;;
P;-33.56286;a;;;
P/Fe;-33.57714;a;;;
;;;;;
$Barley_Shoot$`4`;;;;;
;Value;groups;;;
C;-35.51571;a;;;
Fe;-35.33;a;;;
P;-35.41;a;;;
P/Fe;-35.67429;a;;;
;;;;;
$Barley_Shoot$`7`;;;;;
;Value;groups;;;
C;-37.21286;a;;;
Fe;-37.16143;a;;;
P;-37.44;a;;;
P/Fe;-37.62857;a;;;
;;;;;
$Barley_Shoot$`9`;;;;;
;Value;groups;;;
C;-38.11286;a;;;
Fe;-37.93857;a;;;
P;-38.15571;a;;;
P/Fe;-38.15;a;;;
;;;;;
$Barley_Shoot$`11`;;;;;
;Value;groups;;;
C;-38.23714;a;;;
Fe;-38.20714;a;;;
P;-38.59429;a;;;
P/Fe;-38.46857;a;;;
;;;;;
$Barley_Shoot$`14`;;;;;
;Value;groups;;;
C;-39.32857;a;;;
Fe;-39.31571;a;;;
P;-39.10286;a;;;
P/Fe;-39.06857;a;;;
