$Tomato_Root;;;;;;;;;;;
$Tomato_Root$`0`;;;;;;;;;;;
P/Fe;-34.53;a;;;;;;;;;
;;;;;;;;;;;
$Cucumber_Shoot$`14`;;;;;;;;;;;
;Value;groups;;;;;;;;;
C;-35.88286;bc;;;;;;;;;
Fe;-36.38857;c;;;;;;;;;
P;-33.78429;a;;;;;;;;;
P/Fe;-34.63571;ab;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
$Maize_Root;;;;;;;;;;;
$Maize_Root$`0`;;;;;;;;;;;
;Value;groups;;;;;;;;;
C;-12.20714;a;;;;;;;;;
Fe;-12.48286;a;;;;;;;;;
P;-12.48429;a;;;;;;;;;
P/Fe;-12.24571;a;;;;;;;;;
;;;;;;;;;;;
$Maize_Root$`2`;;;;;;;;;;;
;Value;groups;;;;;;;;;
C;-13.43143;a;;;;;;;;;
Fe;-13.43143;a;;;;;;;;;
P;-13.21714;a;;;;;;;;;
P/Fe;-13.70857;a;;;;;;;;;
;;;;;;;;;;;
$Maize_Root$`4`;;;;;;;;;;;
;Value;groups;;;;;;;;;
C;-13.58286;a;;;;;;;;;
Fe;-13.63571;a;;;;;;;;;
P;-13.28143;a;;;;;;;;;
P/Fe;-13.88571;a;;;;;;;;;
;;;;;;;;;;;
$Maize_Root$`7`;;;;;;;;;;;
;Value;groups;;;;;;;;;
C;-14.59571;a;;;;;;;;;
Fe;-14.47;a;;;;;;;;;
P;-14.88571;a;;;;;;;;;
P/Fe;-14.82857;a;;;;;;;;;
;;;;;;;;;;;
$Maize_Root$`9`;;;;;;;;;;;
;Value;groups;;;;;;;;;
C;-15.66;a;;;;;;;;;
Fe;-15.26286;a;;;;;;;;;
P;-15.76571;a;;;;;;;;;
P/Fe;-15.28;a;;;;;;;;;
;;;;;;;;;;;
$Maize_Root$`11`;;;;;;;;;;;
;Value;groups;;;;;;;;;
C;-15.99;a;;;;;;;;;
Fe;-15.19714;a;;;;;;;;;
P;-15.54;a;;;;;;;;;
P/Fe;-15.37143;a;;;;;;;;;
;;;;;;;;;;;
$Maize_Root$`14`;;;;;;;;;;;
;Value;groups;;;;;;;;;
C;-16.17857;a;;;;;;;;;
Fe;-16.41143;ab;;;;;;;;;
P;-15.98571;a;;;;;;;;;
P/Fe;-16.73857;b;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
$Maize_Shoot;;;;;;;;;;;
$Maize_Shoot$`0`;;;;;;;;;;;
;Value;groups;;;;;;;;;
C;-13.42;a;;;;;;;;;
Fe;-13.25571;a;;;;;;;;;
P;-13.55714;a;;;;;;;;;
P/Fe;-12.89429;a;;;;;;;;;
;;;;;;;;;;;
$Maize_Shoot$`2`;;;;;;;;;;;
;Value;groups;;;;;;;;;
C;-15.96714;a;;;;;;;;;
Fe;-15.97143;a;;;;;;;;;
P;-15.82143;a;;;;;;;;;
P/Fe;-15.70429;a;;;;;;;;;
;;;;;;;;;;;
$Maize_Shoot$`4`;;;;;;;;;;;
;Value;groups;;;;;;;;;
C;-16.33571;b;;;;;;;;;
Fe;-15.24571;a;;;;;;;;;
P;-16.20143;b;;;;;;;;;
P/Fe;-15.72143;ab;;;;;;;;;
;;;;;;;;;;;
$Maize_Shoot$`7`;;;;;;;;;;;
;Value;groups;;;;;;;;;
C;-16.84857;a;;;;;;;;;
Fe;-16.11571;a;;;;;;;;;
P;-16.86286;a;;;;;;;;;
P/Fe;-16.34857;a;;;;;;;;;
;;;;;;;;;;;
$Maize_Shoot$`9`;;;;;;;;;;;
;Value;groups;;;;;;;;;
C;-17.77714;b;;;;;;;;;
Fe;-16.61286;a;;;;;;;;;
P;-17.88286;b;;;;;;;;;
P/Fe;-16.94143;a;;;;;;;;;
;;;;;;;;;;;
$Maize_Shoot$`11`;;;;;;;;;;;
;Value;groups;;;;;;;;;
C;-17.85857;c;;;;;;;;;
Fe;-16.34286;a;;;;;;;;;
P;-17.46;bc;;;;;;;;;
P/Fe;-17.20143;b;;;;;;;;;
;;;;;;;;;;;
$Maize_Shoot$`14`;;;;;;;;;;;
;Value;groups;;;;;;;;;
C;-17.85571;b;;;;;;;;;
Fe;-17.15;a;;;;;;;;;
P;-17.96143;b;;;;;;;;;
P/Fe;-17.31286;a;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
$Barley_Root;;;;;;;;;;;
$Barley_Root$`0`;;;;;;;;;;;
;Value;groups;;;;;;;;;
C;-27.37;a;;;;;;;;;
Fe;-27.71429;a;;;;;;;;;
P;-27.83143;a;;;;;;;;;
P/Fe;-27.48714;a;;;;;;;;;
;;;;;;;;;;;
$Barley_Root$`2`;;;;;;;;;;;
;Value;groups;;;;;;;;;
C;-28.73714;a;;;;;;;;;
Fe;-28.78286;a;;;;;;;;;
P;-29.84;ab;;;;;;;;;
P/Fe;-30.84286;b;;;;;;;;;
;;;;;;;;;;;
$Barley_Root$`4`;;;;;;;;;;;
;Value;groups;;;;;;;;;
C;-31.50429;a;;;;;;;;;
Fe;-31.69857;a;;;;;;;;;
P;-33.01286;a;;;;;;;;;
P/Fe;-32.44;a;;;;;;;;;
;;;;;;;;;;;
$Barley_Root$`7`;;;;;;;;;;;
;Value;groups;;;;;;;;;
C;-34.00143;ab;;;;;;;;;
Fe;-33.32;a;;;;;;;;;
P;-34.65286;ab;;;;;;;;;
P/Fe;-35.18857;b;;;;;;;;;
;;;;;;;;;;;
$Barley_Root$`9`;;;;;;;;;;;
;Value;groups;;;;;;;;;
C;-34.75143;a;;;;;;;;;
Fe;-34.92714;a;;;;;;;;;
P;-35.18143;a;;;;;;;;;
P/Fe;-35.86286;a;;;;;;;;;
;;;;;;;;;;;
$Barley_Root$`11`;;;;;;;;;;;
;Value;groups;;;;;;;;;
C;-34.87429;ab;;;;;;;;;
Fe;-34.30571;a;-34.30571;;;;;;;;
P;-35.89286;b;;;;;;;;;
P/Fe;-35.91143;b;-35.902145;;4.4%;4.7%;;;;;
;;;;;;;;;;;
$Barley_Root$`14`;;;;;;;;;;;
;Value;groups;;;;;;4.6%;4.8%;;
C;-36.55;ab;;;;;;;;;
Fe;-35.74857;a;-35.74857;;;;;;;;
P;-37.31;b;;;;;;;;;
P/Fe;-37.67714;b;-37.49357;;4.7%;4.9%;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
$Barley_Shoot;;;;;;;;;;;
$Barley_Shoot$`0`;;;;;;;;;;;
;Value;groups;;;;;;;;;
C;-31.16429;a;;;;;;;;;
Fe;-30.89571;a;;;;;;;;;
P;-31.05429;a;;;;;;;;;
P/Fe;-31.06429;a;;;;;;;;;
;;;;;;;;;;;
$Barley_Shoot$`2`;;;;;;;;;;;
;Value;groups;;;;;;;;;
C;-32.73429;a;;;;;;;;;
Fe;-33.39571;a;;;;;;;;;
P;-33.56286;a;;;;;;;;;
P/Fe;-33.57714;a;;;;;;;;;
;;;;;;;;;;;
$Barley_Shoot$`4`;;;;;;;;;;;
;Value;groups;;;;;;;;;
C;-35.51571;a;;;;;;;;;
Fe;-35.33;a;;;;;;;;;
P;-35.41;a;;;;;;;;;
P/Fe;-35.67429;a;;;;;;;;;
;;;;;;;;;;;
$Barley_Shoot$`7`;;;;;;;;;;;
;Value;groups;;;;;;;;;
C;-37.21286;a;;;;;;;;;
Fe;-37.16143;a;;;;;;;;;
P;-37.44;a;;;;;;;;;
P/Fe;-37.62857;a;;;;;;;;;
;;;;;;;;;;;
$Barley_Shoot$`9`;;;;;;;;;;;
;Value;groups;;;;;;;;;
C;-38.11286;a;;;;;;;;;
Fe;-37.93857;a;;;;;;;;;
P;-38.15571;a;;;;;;;;;
P/Fe;-38.15;a;;;;;;;;;
;;;;;;;;;;;
$Barley_Shoot$`11`;;;;;;;;;;;
;Value;groups;;;;;;;;;
C;-38.23714;a;;;;;;;;;
Fe;-38.20714;a;;;;;;;;;
P;-38.59429;a;;;;;;;;;
P/Fe;-38.46857;a;;;;;;;;;
;;;;;;;;;;;
$Barley_Shoot$`14`;;;;;;;;;;;
;Value;groups;;;;;;;;;
C;-39.32857;a;;;;;;;;;
Fe;-39.31571;a;;;;;;;;;
P;-39.10286;a;;;;;;;;;
P/Fe;-39.06857;a;;;;;;;;;
